Location Name,District,Governorate,Latitude,Longitude,Population,Economic,Social,Number of Families,Date,Origin
Najim Al Abdulla Village,Al-Khalis,Diyala,34.03934238,44.87989001,0.619,0.192,25.7,190,13-Apr-17,Diyala
Al Mansouriyah-Sherween,Al-Khalis,Diyala,34.05455472,44.89528067,0.615,0.396,34.3,28,13-Apr-17,Diyala
Somair village,Al-Khalis,Diyala,34.05691902,44.88446184,0.613,0,41.9,83,13-Apr-17,Diyala
Khan Al Qorsa Village,Al-Khalis,Diyala,34.1223563,44.59704306,0.611,0,23.5,23,13-Apr-17,Diyala
Um Al Karami village,Al-Khalis,Diyala,34.21175548,44.48603335,0.611,0.301,34.3,60,13-Apr-17,Diyala
Mansouriyat Al Gabal,Al-Khalis,Diyala,34.08092227,44.95318428,0.608,0,18.1,1125,13-Apr-17,Diyala
Al Idhem Center,Al-Khalis,Diyala,34.27432448,44.53823647,0.607,0.323,27.3,577,13-Apr-17,Diyala
Arab yosef Village,Al-Khalis,Diyala,34.27039377,44.53371656,0.604,0.301,34.3,17,13-Apr-17,Diyala
Al Taleaa Al Thanya Village,Al-Khalis,Diyala,34.25345154,44.52593083,0.599,0.298,29.9,85,13-Apr-17,Diyala
Al Taleaa Al Olaa Village(Albo Rai),Al-Khalis,Diyala,34.25685398,44.52621458,0.595,0.045,24,69,13-Apr-17,Diyala
Albo Sarah Village,Al-Khalis,Diyala,34.24224496,44.190843,0.589,0,24,38,13-Apr-17,Diyala
Arab Shendi Village,Al-Khalis,Diyala,34.30921912,44.56192571,0.588,0.16,18.1,17,13-Apr-17,Diyala
Albo Nagem Village,Al-Khalis,Diyala,34.36430714,44.56004811,0.586,0.153,34.3,22,13-Apr-17,Diyala
Al Wehdaa Village(Albo Maree),Al-Khalis,Diyala,34.35875971,44.55373358,0.585,0,22.2,70,13-Apr-17,Diyala
Albo Sabee Village,Al-Khalis,Diyala,34.28854046,44.53718743,0.581,0.271,34.3,31,13-Apr-17,Diyala
Al Hamel Vellage,Al-Khalis,Diyala,34.27847755,44.56299648,0.575,0.238,28.2,92,13-Apr-17,Diyala
Shneef Village,Al-Khalis,Diyala,34.048257,44.54204727,0.571,0.29,23.6,43,13-Apr-17,Diyala
Al Shalahmaa Village,Al-Khalis,Diyala,34.28089312,44.532463,0.564,0.298,29.9,15,13-Apr-17,Diyala
Al Salaam Village,Al-Khalis,Diyala,34.26890768,44.5373976,0.561,0,29.3,28,13-Apr-17,Diyala
Al Wadahat Village,Al-Khalis,Diyala,34.26847133,44.53875134,0.557,0.167,34.5,20,13-Apr-17,Diyala
Al Majara Village,Al-Khalis,Diyala,34.33253042,44.55899827,0.552,0.186,16.4,140,13-Apr-17,Diyala
Albo Mohammed Village,Al-Khalis,Diyala,34.37596085,44.54380156,0.552,0.489,27.3,14,13-Apr-17,Diyala
Abo Dihin,Al-Muqdadiya,Diyala,34.03039292,44.94436333,0.55,0.241,34.5,130,13-Apr-17,Diyala
Abu musa village,Al-Muqdadiya,Diyala,34.00539076,44.8768824,0.547,0.218,26.4,205,13-Apr-17,Diyala
Al Aali Village,Al-Muqdadiya,Diyala,34.03027868,44.94421671,0.538,0.146,22.2,235,13-Apr-17,Diyala
Al-Arda village,Al-Muqdadiya,Diyala,34.03041253,44.94447816,0.533,0,13.6,123,13-Apr-17,Diyala
Al Derwish Village,Al-Muqdadiya,Diyala,34.01548358,44.90919527,0.532,0,21.6,28,13-Apr-17,Diyala
A Hammadi Village,Al-Muqdadiya,Diyala,34.03099698,44.94547825,0.531,0.451,29.3,169,13-Apr-17,Diyala
Al Igaidat Village,Al-Muqdadiya,Diyala,34.00534563,44.8864838,0.525,0.045,24,51,13-Apr-17,Diyala
Al-Gawam Village,Al-Muqdadiya,Diyala,34.03102993,44.94543745,0.524,0.16,18.1,54,13-Apr-17,Diyala
Al Lihayb Village,Al-Muqdadiya,Diyala,34.0055888,44.87929659,0.519,0,37.8,159,13-Apr-17,Diyala
Al Mithaq Village,Al-Muqdadiya,Diyala,34.0059,44.9477,0.518,0,23.5,40,13-Apr-17,Diyala
Al Qalaa Village,Al-Muqdadiya,Diyala,34.01496421,44.91514897,0.511,0.203,26.4,468,13-Apr-17,Diyala
Al Sakhar Village,Al-Muqdadiya,Diyala,34.01828,44.99727,0.508,0.218,26.4,276,13-Apr-17,Diyala
Al Shekha Village,Al-Muqdadiya,Diyala,34.05767,44.98415,0.508,0,29.6,144,13-Apr-17,Diyala
Al Sodoor,Al-Muqdadiya,Diyala,34.05853,44.98179,0.508,0.146,22.2,114,13-Apr-17,Diyala
